$101 MILLION AND ABOVE
Gates Millennium Scholars program,the Bill & Melinda Gates Foundation, $1 billion over 20 years; cash; 1999*
Bard College,Leon Levy, $50 million; cash; 2001

Bates College,Michael and Alison Grott Bonney, $50 million; nature of gift not disclosed; 2017*

Brandeis University,Rosaline and Marcia Cohn, $50 million; bequest; 2017*

Brown University,Walter H. Annenberg, $50 million; nature of gift not disclosed; 1993

California Institute of Technology,the Arnold and Mabel Beckman Foundation, $50 million; cash and stock; 1986

California Institute of Technology,Ronald and Maxine Linde, at least $50 million; nature of gift not disclosed; 2015*

Claremont McKenna College,George R. Roberts, $50 million; nature of gift not disclosed; 2012

Cold Spring Harbor Laboratory,the Simons Foundation, $50 million; nature of gift not disclosed; 2014

College for Creative Studies,Josephine Ford, $50 million; bequest; 2006

College of Idaho,the J.A. and Kathryn Albertson Foundation, $50 million; cash; 2007

College of William & Mary,an anonymous donor, $50 million; nature of gift not disclosed; 2015*

Columbia University Medical Center,P. Roy and Diana Vagelos, $50 million; nature of gift not disclosed; 2010*

Columbia University School of Public Health,the William H. Gates Foundation, $50 million; cash; 1999

Cornell University,Sanford I. and Joan Weill, $50 million; nature of gift not disclosed; 2007†

Cornell University,Einhorn Family Charitable Trust (David and Cheryl Strauss Einhorn), $50 million; nature of gift not disclosed; 2014*

Cornell University,Peter and Nancy Meinig and family, $50 million; nature of gift not disclosed; 2015*

Cornell University,Robert F. Smith’s Fund II Foundation, $50 million; nature of gift not disclosed; 2016*

Cornell University Medical College,an anonymous donor, $50 million; charitable trust; 1983

Cornell University Weill Medical College,Maurice R. and Corinne Greenberg, $50 million; nature of gift not disclosed; 2002†

Cornell University Weill Medical College,an anonymous donor, $50 million; nature of gift not disclosed; 2003

Creighton University,an anonymous donor, $50 million; nature of gift not disclosed; 2004*

Dartmouth College,an anonymous family, $50 million; nature of gift not disclosed; 2009*

Drake University,Dwight D. Opperman, $50 million; cash and charitable remainder trust; 1997*

Drexel University,Thomas R. Kline, $50 million; nature of gift not disclosed; 2014*

Duke University,the Duke Endowment, $50 million; cash; 2008†

Duke University,Bruce and Martha Karsh, $50 million; nature of gift not disclosed; 2011*

Emory University,the O. Wayne Rollins Foundation and Grace Crum Rollins, $50 million; nature of gift not disclosed; 2007*

Georgetown University,Peter and Susan Cooper, $50 million; nature of gift not disclosed; 2015*

Harvard University,the Tata Group (India), $50 million; nature of gift not disclosed; 2010*

Harvard University,the Blavatnik Family Foundation, $50 million; nature of gift not disclosed; 2013*

Hebrew University of Jerusalem (Israel),the Edmond J. Safra Philanthropic Foundation, $50 million; nature of gift not disclosed; 2009

Indiana University Medical Center,Melvin and Bren Simon, $50 million; nature of gift not disclosed; 2006†

Iowa State University,Debbie and Jerry Ivy, $50 million; nature of gift not disclosed; 2017*

Johns Hopkins University,the Zanvyl and Isabelle Krieger Fund, $50 million; cash; 1992

Johns Hopkins University,William Polk Carey, $50 million; nature of gift not disclosed; 2006*

Johns Hopkins University,Michael R. Bloomberg, $50 million; nature of gift not disclosed; 2016*

Johns Hopkins University,Sidney Kimmel, $50 million; nature of gift not disclosed; 2016*

Keck Graduate Institute of Applied Life Sciences,the W.M. Keck Foundation, $50 million; cash; 1997

Le Moyne College,the estate of Robert and Catherine McDevitt, $50 million; bequest; 2008

Loyola University Chicago,the Cuneo Foundation, $50 million; a mansion, furnishings, artwork, land, and cash; 2009

Massachusetts Institute of Technology,the Jeffry M. and Barbara Picower Foundation, $50 million; cash; 2001

Massachusetts Institute of Technology,Legatum, $50 million; nature of gift not disclosed; 2007*

Middlebury College,an anonymous donor, $50 million; nature of gift not disclosed; 2004*

Montana State University,Norm Asbjornson, $50 million; nature of gift not disclosed; 2014*

New York University,Constance and Martin Silver, $50 million; cash and bequest; 2007*

New York University,the Hassenfeld family, $50 million; nature of gift not disclosed; 2011*

North Carolina State University,the Park Foundation, $50 million; nature of gift not disclosed; 2013

Nova Southeastern University,Kiran and Pallavi Patel, $50 million; nature of gift not disclosed; 2017*

Oglethorpe University,Q. William Hammack Jr. and Diane Hammack, $50 million; bequest; 2017*

Rice University,Ann and John Doerr (Benificus Foundation), $50 million; nature of gift not disclosed; 2015*

Rochester Institute of Technology,Austin McChord, $50 million; nature of gift not disclosed; 2017*

Saint Joseph’s University (Pa.),James J. and Frances Maguire, $50 million; nature of gift not disclosed; 2017*

Stanford University,Helen and Peter Bing, $50 million, for a new concert hall; nature of gift not disclosed; 2006

Stanford University,William R. Hewlett, $50 million; cash and stock; 1986

Stanford University,Steven and Roberta Denning, $50 million; nature of gift not disclosed; 2016

Swarthmore College,Eugene Lang, $50 million; nature of gift not disclosed; 2012*

Texas Tech University Health Sciences Center at El Paso,Paul L. Foster, $50 million; stock; 2007

Tufts University,the Cummings Foundation, $50 million; cash; 2004*

Tulane University,the Weatherhead Foundation, $50 million; nature of gift not disclosed; 2009*

Tulane University,the Weatherhead Foundation, $50 million; nature of gift not disclosed; 2011*

United Negro College Fund,Walter H. Annenberg, $50 million; cash; 1990

University of Arizona College of Law,James E. Rogers, $50 million; cash; 1998*

University of Arizona Foundation,Agnese Nelms Haury, $50 million; bequest; 2014

University of Arkansas,the Walton Family Charitable Support Foundation, $50 million; cash; 1998

University of California at Los Angeles,Paul I. Terasaki, $50 million; bequest; 2010*

University of California at Los Angeles,Jonathan and Karen Fielding, $50 million; stock; 2012*

University of California at Los Angeles,Norman and Irma Switzer, $50 million; bequest; 2014

University of California at San Francisco,the Atlantic Philanthropies, $50 million; cash; 2007*

University of California at San Francisco,an anonymous donor, $50 million; nature of gift not disclosed; 2015*

University of California at San Francisco,William K. Bowes Jr. Foundation, $50 million; nature of gift not disclosed; 2016*

University of California at Santa Barbara,Jeff and Judy Henley, $50 million; nature of gift not disclosed; 2012*

University of Chicago,Harriet Heyman and Michael Moritz, $50 million; nature of gift not disclosed; 2016*

University of Florida,the Herbert and Nicole Wertheim Family Foundation, $50 million; nature of gift not disclosed; 2015*

University of Kansas,David Booth, $50 million; nature of gift not disclosed; 2017*

University of Michigan,the Samuel and Jean Frankel Foundation, $50 million; nature of gift not disclosed; 2007*

University of Michigan at Ann Arbor,Helen Zell, $50 million; nature of gift not disclosed; 2013*

University of Michigan at Ann Arbor,Richard Rogel, $50 million; nature of gift not disclosed; 2013*

University of Michigan at Ann Arbor,Ronald and Eileen Weiser, $50 million; nature of gift not disclosed; 2014*

University of Michigan at Ann Arbor,Stephen Ross, $50 million; nature of gift not disclosed; 2017*

University of Nebraska at Lincoln,Robert B. Daugherty Charitable Foundation, $50 million; nature of gift not disclosed; 2010*

University of North Carolina at Chapel Hill,Dennis and Joan Gillings, $50 million; nature of gift not disclosed; 2007*

University of Notre Dame,Joan B. Kroc, $50 million; bequest; 2003

University of Notre Dame,Donald and Marilyn Keough, $50 million; nature of gift not disclosed; 2014*

University of Oklahoma,Clara Weitzenhoffer, $50 million and art; bequest; 2000

University of Oklahoma at Tulsa,the George Kaiser Family Foundation, $50 million; nature of gift not disclosed; 2008

University of Oregon,Steve and Connie Ballmer, $50 million; nature of gift not disclosed; 2014*

University of Oregon,an anonymous donor, $50 million; nature of gift not disclosed; 2017*

University of Oxford (England),Michael Moritz and Harriet Heyman, $50 million; nature of gift not disclosed; 2008*

University of Pennsylvania,Jerome and Anne Fisher, $50 million; nature of gift not disclosed; 2008*

University of Richmond,E. Claiborne Robins, $50 million; stock; 1969

University of Saint Thomas (Minn.),Richard M. and Sandra Schulze, $50 million; cash and stock; 2000

University of Saint Thomas (Minn.),an anonymous donor, $50 million; nature of gift not disclosed; 2008*

University of San Diego,Joan B. Kroc, $50 million; bequest; 2003

University of Southern California,the Annenberg Foundation, $50 million; nature of gift not disclosed; 2010*

University of Southern California,Ming Hsieh, $50 million; nature of gift not disclosed; 2010*

University of Southern California,the Price Family Charitable Fund, $50 million; nature of gift not disclosed; 2011*

University of Southern California,Gary K. Michelson, $50 million; nature of gift not disclosed; 2014*

University of Southern California,Mark A. and Mary Stevens, $50 million; nature of gift not disclosed; 2015*

University of Tennessee at Knoxville,an anonymous donor, $50 million; gift and bequest; 2006*

University of Tennessee at Knoxville,James and Natalie Haslam and family, $50 million; nature of gift not disclosed; 2014*

University of Texas at Austin,B.J. (Red) McCombs, $50 million, to be paid over eight years; cash; 2000*

University of Texas at Austin,the Michael and Susan Dell Foundation, $50 million, to be paid over 10 years; nature of gift not disclosed; 2013*

University of Texas at Austin,the Moody Foundation, $50 million, to establish the Moody College of Communication; nature of gift not disclosed; 2013*

University of Texas at Austin Dell Medical School,the Livestrong Foundation, $50 million; cash; 2014

University of Texas at Austin Dell Medical School,the James and Miriam Mulva and the Mulva Family Foundation, $50 million; nature of gift not disclosed; 2016*

University of Texas M.D. Anderson Cancer Center,the T. Boone Pickens Foundation, $50 million; nature of gift not disclosed; 2007*

University of Texas Southwestern Medical Center at Dallas,an anonymous donor, $50 million; cash; 2003*

University of Texas Southwestern Medical Center at Dallas,Harold C. and Annette Simmons, $50 million; cash; 2005*

University of Texas Southwestern Medical Center at Dallas,the T. Boone Pickens Foundation, $50 million; nature of gift not disclosed; 2007*

University of Texas Southwestern Medical Center at Dallas,Harold C. and Annette Simmons, $50 million; cash; 2008*

University of Texas system,the Michael and Susan Dell Foundation, $50 million, partly contingent on matching grants; cash and other assets; 2006*

University of Virginia,the estate of David A. Harrison III and Mary Harrison, in excess of $50 million; bequest; 2002*

University of Wisconsin Foundation,Albert and Nancy Nicholas, $50 million; nature of gift not disclosed; 2015*

Villanova University,the Davis Family Foundation, $50 million; nature of gift not disclosed; 2013*

Weizmann Institute of Science (Israel),Nancy and Stephen Grand, $50 million; nature of gift not disclosed; 2013*

Wellesley College,two anonymous alumnae, $50 million; nature of gift not disclosed; 2015*

Wisconsin Alumni Research Foundation,John and Tashia Morgridge, $50 million; nature of gift not disclosed; 2006*

Yale University,Paul Mellon, $50 million; artworks and historical documents; 1992

Yale University,John W. and Susan G. Jackson, $50 million; nature of gift not disclosed; 2009*

Yale University,Edward P. (Ned) Evans, $50 million; nature of gift not disclosed; 2010*

Yale University,by John Malone, $50 million; nature of gift not disclosed; 2011*

Yale University,an anonymous donor, $50 million; nature of gift not disclosed; 2016*
